Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class,index
my bloody valentine,only shallow,59,0.14,0.641,0,-10.435,1,0.0422,0.000243,0.837,0.108,0.352,170.207,256573,4,Indie Alt,2862
Yung Bleu,Thieves In Atlanta ,59,0.534,0.499,10,-7.968,1,0.104,0.672,0,0.122,0.581,170.012,192048,4,HipHop,2863
Bloc Party,Helicopter,59,0.47,0.954,11,-3.631,0,0.134,0.000159,0.0043,0.405,0.412,170.1,220173,4,Indie Alt,2864
Squeeze,Tempted,59,0.729,0.356,6,-13.743,0,0.0347,0.0916,0.0905,0.052,0.392,95.026,240333,4,Alt_Music,2865
Manfred Mann's Earth Band,Blinded By The Light,59,0.456,0.696,5,-10,1,0.0653,0.291,0.000207,0.0853,0.508,142.156,428133,4,Rock,2866
The Maine,Sticky,59,0.669,0.819,0,-4.716,1,0.0363,0.11,0,0.212,0.762,105.055,178901,4,Rock,2867
The Strokes,Heart In a Cage,59,0.418,0.857,8,-5.133,1,0.0404,2.73E-06,0.805,0.368,0.12,140.02,206173,4,Rock,2868
Electric Six,Danger! High Voltage,59,0.66,0.698,11,-4.722,0,0.0302,1.92E-05,0.166,0.0517,0.511,123.005,214600,4,Rock,2869
Maximo Park,Books From Boxes,59,0.611,0.568,5,-6.142,1,0.032,0.0906,0,0.117,0.567,95.546,208653,4,Rock,2870
The Fall of Troy,F.C.P.R.E.M.I.X.,59,0.226,0.891,9,-5.531,0,0.0702,0.000631,9.75E-06,0.225,0.511,167.876,237680,4,Rock,2871
Atreyu,Save Us,59,0.409,0.816,0,-4.59,1,0.0743,0.00384,2.86E-06,0.0932,0.385,164.841,141608,4,Rock,2872
Kid Ink,Champion,59,0.287,0.956,5,-2.847,0,0.258,0.0937,0,0.423,0.475,82.578,156848,4,HipHop,2873
The Voidz,Leave It In My Dreams,59,0.6,0.746,4,-4.696,0,0.0355,0.0226,0.0119,0.109,0.614,118.551,239442,4,Indie Alt,2874
Busta Rhymes,Woo Hah!! Got You All in Check,59,0.842,0.831,1,-7.072,1,0.242,0.127,0,0.0881,0.814,92.053,271973,4,HipHop,2875
Washed Out,Too Late,59,0.43,0.874,8,-5.054,0,0.0543,0.127,0.0418,0.126,0.576,195.891,252409,4,Indie Alt,2876
Fall Out Boy,Fourth Of July,59,0.481,0.974,4,-3.388,0,0.136,0.139,0.00998,0.406,0.516,79.964,224360,4,Rock,2877
Bastille,WHAT YOU GONNA DO???,59,0.529,0.853,7,-4.481,1,0.0382,0.00717,0,0.339,0.646,127.987,131303,4,Rock,2878
Fivio Foreign,Unruly,59,0.843,0.762,9,-7.915,0,0.449,0.143,0,0.35,0.542,144.856,158955,3,HipHop,2879
Lupe Fiasco,Daydreamin' ,59,0.533,0.739,5,-3.573,0,0.0602,0.029,0,0.266,0.617,81.37,234307,4,HipHop,2880
Rage Against The Machine,Bullet In The Head,59,0.431,0.855,9,-4.205,1,0.15,0.00673,0.00114,0.639,0.397,163.014,306680,4,Rock,2881
Ying Yang Twins,Wait ,59,0.933,0.513,7,-13.203,1,0.347,0.00112,0.00248,0.107,0.595,102.017,179160,4,HipHop,2882
Cake,I Will Survive,59,0.507,0.683,7,-8.079,1,0.0316,0.303,0.000132,0.142,0.901,95.732,310600,4,Rock,2883
The White Stripes,Ball and Biscuit,59,0.511,0.67,9,-7.135,1,0.188,0.0509,0.145,0.102,0.605,78.138,439067,4,Rock,2884
Nightwish,Noise,59,0.5,0.85,2,-7.759,1,0.0493,0.000406,0.00515,0.121,0.434,76.976,340281,4,Metal,2885
Architects,Dead Butterflies,59,0.433,0.863,3,-4.941,0,0.0565,0.00148,0.00342,0.0931,0.425,125.021,242407,4,Metal,2886
Miguel,So I Lie,59,0.689,0.707,11,-8.815,0,0.219,0.147,0.0774,0.116,0.624,109.945,237240,4,Alt_Music,2887
Noga Erez,End of the Road,59,0.899,0.557,7,-7.966,1,0.245,0.0786,0,0.0777,0.464,99.975,159986,4,Pop,2888
Big Thief,Shark Smile,59,0.688,0.737,6,-9.31,0,0.0678,0.0769,0.641,0.114,0.666,131.042,194760,4,Alt_Music,2889
Bastille,Quarter Past Midnight,59,0.504,0.821,8,-3.356,1,0.0598,0.275,0,0.0418,0.458,155.131,201799,4,Rock,2890
Volbeat,Maybellene i Hofteholder,59,0.247,0.942,0,-2.796,1,0.0691,0.00408,1.86E-06,0.0864,0.601,94.094,200827,4,Metal,2891
Oscar Peterson Trio,I Got It Bad And That Ain't Good,59,0.488,0.0527,5,-27.331,1,0.0478,0.971,0.911,0.0882,0.193,49.689,5.103783333,4,Instrumental,2892
M24,High Right Now,59,0.875,0.661,3,-6.71,0,0.259,0.41,0,0.0889,0.739,141.894,174557,4,HipHop,2893
TOOL,Right In Two,59,0.44,0.568,7,-8.54,1,0.0293,0.00442,0.84,0.119,0.248,118.389,535800,3,Metal,2894
Ice Prince,KOLO ,59,0.629,0.741,11,-1.521,0,0.146,0.532,0,0.119,0.816,103.715,168013,4,Pop,2895
Rocky Trail,Kings of Convenience,59,0.549,0.418,6,-13.172,1,0.0423,0.788,0.123,0.112,0.692,171.98,3.506283333,4,Acoustic/Folk,2896
2WEI,Boom Boom,59,0.485,0.737,2,-7.572,1,0.0943,0.00731,0.00313,0.0757,0.143,155.718,172987,4,Blues,2897
N.W.A.,Express Yourself,59,0.852,0.803,6,-6.929,0,0.264,0.00204,0,0.121,0.752,96.2,261400,4,HipHop,2898
Nirvana,School,59,0.21,0.943,4,-7.656,1,0.0785,1.15E-05,0.493,0.0739,0.13,164.844,162116,4,Rock,2899
Thirty Seconds To Mars,Attack,59,0.333,0.877,5,-1.894,0,0.0603,0.00332,0.00101,0.769,0.285,175.095,188187,4,Rock,2900
Mel McDaniel,Baby's Got Her Blue Jeans On,59,0.871,0.714,10,-6.413,1,0.0307,0.237,1.94E-06,0.072,0.962,106.797,2.994216667,4,Country,2901
Kavinsky,Nightcall,59,0.509,0.856,9,-5.091,0,0.0553,0.00895,0.0108,0.424,0.427,91.02,257320,4,Indie Alt,2902
Andi,Life's Not Like The Movies,59,0.697,0.494,7,-5.206,1,0.0317,0.274,5.14E-06,0.0936,0.357,90.842,161071,4,Pop,2903
Red Hot Chili Peppers,Look Around,59,0.56,0.953,7,-2.372,0,0.0851,0.005,1.60E-05,0.226,0.519,111.911,208000,4,Rock,2904
Incubus,Anna Molly,59,0.451,0.973,8,-2.611,1,0.0514,0.00428,7.36E-06,0.0924,0.628,151.885,225880,4,Rock,2905
Tom Odell,money,59,0.807,0.788,9,-6.043,0,0.109,0.273,0.00104,0.225,0.602,83.016,176250,4,Indie Alt,2906
Lifehouse,Broken,59,0.534,0.708,11,-5.732,1,0.0402,0.089,0,0.192,0.488,130.639,286480,4,Rock,2907
Rival Sons,Do Your Worst,59,0.392,0.791,2,-2.785,1,0.0509,0.0113,1.43E-06,0.326,0.413,83.868,210493,4,Rock,2908
Albert King,Born Under A Bad Sign,59,0.711,0.483,11,-11.211,1,0.0298,0.434,0.012,0.0284,0.884,91.652,169998,4,Blues,2909
Latto,Step It Up,59,0.961,0.617,11,-5.76,1,0.344,0.26,0,0.149,0.734,125.009,161280,4,HipHop,2910
Chelsea Collins,Hotel Bed ,59,0.631,0.742,7,-4.784,1,0.0949,0.294,0,0.148,0.474,149.909,202114,4,Pop,2911
The Sweetgreens,Moon River,59,0.601,0.0371,2,-25.963,0,0.0399,0.885,0.578,0.0991,0.121,112.603,3.225216667,4,Instrumental,2912
Parkway Drive,Vice Grip,59,0.48,0.988,11,-3.229,0,0.0838,3.17E-05,0.00432,0.389,0.252,124.041,263587,4,Metal,2913
Kate Stephenson,Exless,59,0.51,0.245,8,-12.5,1,0.0441,0.694,0,0.127,0.157,133.878,205774,5,Pop,2914
Silverstein,Infinite,59,0.441,0.868,11,-5.516,0,0.0714,0.000121,2.72E-06,0.145,0.366,162,163720,4,Rock,2915
Digga D,Bluuwuu,59,0.919,0.672,2,-5.245,1,0.446,0.456,0,0.165,0.855,140.139,181759,4,HipHop,2916
Bullet For My Valentine,Letting You Go,59,0.459,0.903,5,-4.649,0,0.0673,0.00877,0,0.168,0.364,76.185,223655,4,Rock,2917
T.I.,Top Back,59,0.597,0.678,2,-5.743,1,0.3,0.0103,0,0.381,0.659,160.074,282413,4,HipHop,2918
Guns N' Roses,It's So Easy,59,0.374,0.973,8,-10.098,1,0.128,0.0134,9.84E-06,0.0947,0.218,150.634,201360,4,Rock,2919
Chevelle,Self Destructor,59,0.473,0.898,6,-3.537,0,0.0363,7.34E-06,0.56,0.311,0.405,104.031,347941,4,Rock,2920
Kanye West,Drive Slow,59,0.593,0.593,11,-8.216,1,0.289,0.0306,9.94E-06,0.229,0.488,81.291,272227,1,HipHop,2921
Cage The Elephant,Night Running,59,0.601,0.946,4,-2.298,0,0.0656,0.0661,1.12E-05,0.388,0.58,141.929,208133,4,Rock,2922
Jason Aldean,Hicktown,59,0.697,0.877,6,-3.885,1,0.0348,0.00913,6.93E-06,0.0726,0.768,121.534,5.10045,4,Country,2923
American Football,Never Meant,59,0.436,0.819,0,-6.71,1,0.036,0.0171,0.00882,0.117,0.405,144.26,268333,4,Rock,2924
Bryan Adams,Here I Am,59,0.581,0.777,8,-7.122,1,0.0296,0.0078,4.04E-05,0.0891,0.162,98.963,284067,4,Rock,2925
chloe moriondo,Bugbear,59,0.634,0.514,10,-10.115,1,0.0836,0.189,0,0.123,0.639,99.979,173600,4,Indie Alt,2926
Alfie Templeman,Everybody‚Äôs Gonna Love Somebody,59,0.861,0.662,7,-5.666,1,0.0818,0.081,1.18E-05,0.101,0.658,120.029,196709,4,Indie Alt,2927
The Strokes,Hard To Explain,59,0.406,0.682,7,-6.281,1,0.0584,0.000413,0.849,0.0999,0.623,82.495,223980,4,Alt_Music,2928
Jensen McRae,Immune,59,0.545,0.365,6,-8.97,1,0.0396,0.136,4.86E-06,0.201,0.233,150.125,210166,4,Indie Alt,2929
Thundercat,Dragonball Durag,59,0.626,0.597,6,-9.943,0,0.33,0.614,1.53E-05,0.122,0.578,80.985,221099,4,HipHop,2930
Willie Nelson,Blue Eyes Crying In the Rain,59,0.626,0.04,4,-19.994,1,0.0405,0.928,0.00178,0.11,0.418,117.136,2.31,4,Country,2931
Cigarettes After Sex,Touch,59,0.483,0.5,6,-9.403,1,0.0241,0.354,0.912,0.103,0.368,95.981,292853,4,Indie Alt,2932
Goodie Mob,Cell Therapy,59,0.849,0.476,0,-10.479,1,0.445,0.0965,0,0.105,0.48,83.21,277133,4,HipHop,2933
King Combs,Holdin Me Down,59,0.671,0.622,9,-5.709,0,0.348,0.236,1.29E-06,0.0928,0.417,155.599,251839,4,HipHop,2934
YFN Lucci,Both of Us ,59,0.529,0.691,5,-5.7,0,0.227,0.0221,0,0.134,0.417,80.344,221994,4,HipHop,2935
david hugo,we made it.,59,0.653,0.515,5,-7.906,1,0.267,0.0706,0,0.0756,0.674,176.05,164662,4,Pop,2936
Sturgill Simpson,Paradise,59,0.358,0.3,2,-9.564,1,0.0423,0.777,3.56E-05,0.0889,0.557,185.132,198787,3,Alt_Music,2937
David Bowie,China Girl,59,0.651,0.699,4,-7.867,0,0.0277,0.039,0.0659,0.124,0.832,133.793,5.56361667,4,Rock,2938
Caroline Polachek,Door,59,0.684,0.438,3,-8.309,1,0.0388,0.222,0,0.262,0.253,123.997,322563,4,Indie Alt,2939
boy pablo,wachito rico,59,0.702,0.748,9,-9.304,1,0.0463,0.0334,0.00296,0.104,0.967,123.02,214146,4,Indie Alt,2940
Asking Alexandria,The Black,59,0.417,0.954,11,-4.152,0,0.0627,0.00151,0,0.407,0.146,96.993,281333,4,Metal,2941
Ben Harper,Burn One Down,59,0.857,0.404,5,-10.669,1,0.0444,0.573,0.733,0.0958,0.302,105.068,211627,4,Rock,2942
Suicide Silence,You Only Live Once,59,0.613,0.953,6,-4.936,1,0.153,0.00018,0.0614,0.116,0.213,119.976,192560,4,Metal,2943
The Strokes,Juicebox,59,0.462,0.981,2,-2.371,0,0.127,0.00166,0.00894,0.0856,0.547,154.995,194573,4,Rock,2944
Badflower,30,59,0.548,0.971,9,-3.915,1,0.16,0.00324,0.000388,0.065,0.373,135.028,226568,3,Rock,2945
"nothing,nowhere.",nightmare,59,0.529,0.913,9,-3.843,0,0.0864,0.0379,0,0.314,0.434,139.906,174023,4,Rock,2946
The Lonely Island,Jack Sparrow,59,0.718,0.712,8,-5.242,1,0.222,0.0225,0,0.0442,0.42,97.005,187747,4,Pop,2947
Metallica,The Memory Remains,59,0.435,0.901,10,-3.694,0,0.0429,0.000303,0.0072,0.185,0.547,143.646,279173,4,Metal,2948
St. Vincent,Pay Your Way In Pain,59,0.677,0.826,9,-6.8,1,0.368,0.395,0,0.571,0.498,124.821,183880,4,Pop,2949
Focalistic,Ke Star,59,0.883,0.533,10,-12.851,0,0.0547,0.00597,0.00135,0.0731,0.2,112.017,328766,4,Pop,2950
Norberg,Abisko,59,0.547,0.0608,2,-19.962,1,0.0317,0.883,0.552,0.0952,0.132,105.068,2.803166667,4,Instrumental,2951
They Might Be Giants,Birdhouse in Your Soul,59,0.61,0.819,8,-8.323,1,0.0666,0.00381,7.92E-06,0.285,0.454,100.057,198920,4,Rock,2952
Liam Gallagher,Wall of Glass,59,0.351,0.939,0,-4.469,1,0.0564,6.42E-05,0.00113,0.296,0.321,182.067,223547,4,Rock,2953
my bloody valentine,Only Shallow,59,0.14,0.641,0,-10.435,1,0.0422,0.000243,0.837,0.108,0.352,170.207,256573,4,Rock,2954
Stevie Ray Vaughan,Texas Flood,59,0.256,0.423,6,-11.994,1,0.035,0.000788,0.402,0.25,0.441,173.27,320907,3,Blues,2955
Mark Ronson,Daffodils ,59,0.724,0.538,0,-8.041,1,0.0381,0.0408,0.0139,0.0343,0.282,108.945,298133,4,Alt_Music,2956
Carrie Underwood,Dirty Laundry,59,0.456,0.874,10,-4.129,0,0.114,0.0595,1.12E-05,0.111,0.5,200.179,3.40155,4,Country,2957
Sam Fender,Play God,59,0.714,0.708,10,-6.286,0,0.0483,0.0891,0.0471,0.116,0.601,94.478,225600,4,Rock,2958
R.E.M.,Stand,59,0.653,0.738,4,-10.057,1,0.0285,0.397,0,0.0931,0.932,109.322,192960,4,Rock,2959
Taproot,Poem,59,0.364,0.912,7,-2.968,1,0.107,0.000104,0.0025,0.086,0.666,105.368,189200,4,Metal,2960
Badfinger,No Matter What,59,0.529,0.743,9,-5.523,1,0.0481,0.177,0,0.0759,0.78,116.817,180547,4,Rock,2961
Christine and the Queens,Tilted,59,0.872,0.361,7,-9.88,1,0.0609,0.283,0.00262,0.108,0.489,100.001,233247,4,Indie Alt,2962
FRVRFRIDAY,OKAY ,59,0.731,0.41,9,-10.666,1,0.083,0.544,0,0.11,0.457,114.104,210779,4,HipHop,2963
Chris Cornell,Nearly Forgot My Broken Heart,59,0.593,0.781,0,-5.472,1,0.0285,0.0944,2.23E-06,0.173,0.657,119.522,234427,4,Rock,2964
Ed Sheeran,Castle on the Hill,59,0.563,0.26,2,-5.856,1,0.0391,0.518,0,0.146,0.616,145.561,3.77045,4,Acoustic/Folk,2965
Trivium,Strife,59,0.461,0.987,1,-1.711,0,0.108,3.58E-05,8.48E-05,0.359,0.309,142.031,269266,4,Metal,2966
Black Star,Definition,59,0.65,0.9,1,-4.099,0,0.374,0.0252,0,0.176,0.659,89.788,206493,4,HipHop,2967
Lindemann,Steh auf,59,0.396,0.956,0,-4.726,1,0.042,8.00E-05,6.91E-05,0.0602,0.445,74.992,184080,4,Metal,2968
KRS-One,Step into a World ,59,0.803,0.806,0,-7.805,1,0.265,0.00761,0.00544,0.101,0.624,94.994,289907,4,HipHop,2969
Faith No More,Midlife Crisis,59,0.669,0.656,9,-10.549,1,0.0413,0.00113,0.000252,0.0989,0.464,108.098,259866,4,Metal,2970
Q-Tip,Let's Ride,59,0.775,0.795,5,-4.171,1,0.206,0.148,0.00119,0.0411,0.796,95.212,246493,4,HipHop,2971
Metallica,I Disappear,59,0.536,0.928,1,-3.64,1,0.0498,0.000213,6.56E-05,0.0411,0.46,122.655,266240,4,Rock,2972
Bibio,Petals,59,0.359,0.286,9,-10.172,0,0.0338,0.908,0.0036,0.109,0.229,152.205,152333,4,Indie Alt,2973
Charles Bradley,The World ,59,0.715,0.6,5,-7.728,0,0.0264,0.0714,0.00165,0.0876,0.77,86.989,202492,4,Pop,2974
Yo La Tengo,Autumn Sweater,59,0.628,0.455,7,-12.436,1,0.0427,0.142,0.693,0.135,0.858,102.09,318373,4,Alt_Music,2975
Duponte et Duponte,Chimes,59,0.458,0.0533,10,-20.472,0,0.0289,0.863,0.138,0.11,0.155,96.864,2.726516667,4,Instrumental,2976
Cage The Elephant,In One Ear,59,0.326,0.948,1,-4.315,0,0.0606,0.000258,0,0.367,0.358,166.397,241320,4,Rock,2977
North Mississippi Allstars,Up and Rolling,59,0.808,0.532,2,-7.472,1,0.025,0.543,0.00422,0.122,0.816,89.934,303920,4,Blues,2978
Mumford & Sons,Believe,59,0.332,0.667,2,-5.992,1,0.0456,0.0308,0.035,0.225,0.378,114.892,220867,4,Rock,2979
Carolina Liar,Show Me What I'm Looking For,59,0.449,0.864,9,-1.159,0,0.0378,0.0133,1.31E-06,0.0984,0.355,105.121,240467,4,Rock,2980
Arijit Singh,Yeh Fitoor Mera,59,0.449,0.421,4,-8.92,1,0.0272,0.387,0.000108,0.11,0.203,163.747,4.717833333,3,Bollywood,2981
"Julia Sheer, Jon D",Little Talks,59,0.637,0.263,5,-9.094,0,0.0399,0.873,0,0.164,0.487,97.423,3.66266667,4,Acoustic/Folk,2982
Coheed and Cambria,A Favor House Atlantic,59,0.294,0.97,4,-4.942,1,0.265,0.000706,0,0.123,0.144,166.475,234707,4,Rock,2983
Gerry Cinnamon,Where We're Going,59,0.518,0.823,9,-7.374,1,0.0348,0.00173,1.03E-06,0.0764,0.536,157.919,240330,4,Indie Alt,2984
Arcade Fire,Reflektor,59,0.585,0.717,11,-8.379,0,0.0311,0.0561,0.0148,0.366,0.636,111.563,450984,4,Rock,2985
Steve Earle,Guitar Town,59,0.661,0.496,7,-15.53,1,0.0357,0.229,0,0.0753,0.948,165.549,2.587783333,4,Country,2986
I Lied (with Allison Ponthier),"Lord Huron, Allison Ponthier",59,0.44,0.269,5,-10.769,1,0.0262,0.914,0.261,0.132,0.138,103.877,3.906383333,3,Acoustic/Folk,2987
Stevie Ray Vaughan,Mary Had a Little Lamb,59,0.678,0.493,8,-13.782,1,0.0302,0.0882,0.153,0.264,0.914,122.627,166960,4,Blues,2988
Matchbook Romance,Monsters,59,0.362,0.945,10,-2.651,0,0.0575,0.00131,2.51E-05,0.154,0.487,114.797,243747,4,Rock,2989
Within Temptation,Faster,59,0.505,0.932,6,-2.894,0,0.0412,0.00115,0.000195,0.135,0.486,120.008,263973,4,Metal,2990
Cory Marks,Outlaws & Outsiders,59,0.5,0.866,9,-4.338,1,0.0443,0.0575,0,0.129,0.629,176.189,197235,4,Rock,2991
Bryce Vine,Blame It On Me,59,0.763,0.456,1,-6.769,1,0.0622,0.251,0,0.103,0.838,140.112,131877,4,Pop,2992
Khruangbin,Summer Madness,59,0.504,0.323,6,-12.442,0,0.0481,0.382,0.835,0.373,0.453,79.654,201917,4,Indie Alt,2993
BENEE,Happen To Me,59,0.661,0.643,0,-7.655,1,0.0319,0.168,0.0034,0.0966,0.36,148.994,231701,4,Indie Alt,2994
Ghost,Dance Macabre,59,0.619,0.696,7,-6.269,0,0.0315,1.89E-05,0.00555,0.38,0.727,125.986,219720,4,Metal,2995
Deep In Love,"Bonny Light Horseman, Eric D. Johnson, Josh Kaufman, Anaïs Mitchell",59,0.618,0.558,5,-8.184,1,0.0251,0.604,0.395,0.124,0.336,111.709,5.1512,4,Acoustic/Folk,2996
Handsome Boy Modeling School,The Truth,59,0.7,0.393,2,-10.88,1,0.0471,0.6,6.08E-06,0.113,0.477,79.638,337200,4,HipHop,2997
Rainbow,Stargazer,59,0.166,0.948,11,-8.503,0,0.0631,0.00374,0.0131,0.769,0.476,177.495,506160,4,Metal,2998
The Uptown Players,Solitude,59,0.427,0.0841,5,-20.033,0,0.0319,0.973,0.962,0.0995,0.159,105.973,2.509966667,4,Instrumental,2999
Incubus,Megalomaniac,59,0.532,0.943,7,-4.549,0,0.0512,0.0056,0.000587,0.317,0.371,140.042,294800,4,Rock,3000
Neck Deep,When You Know,59,0.546,0.782,8,-4.801,1,0.0371,0.00155,0.000545,0.0528,0.44,108.049,189102,4,Rock,3001
Cautious Clay,Karma & Friends,59,0.548,0.58,6,-7.637,0,0.0251,0.048,0.0238,0.237,0.446,87.997,165306,4,Alt_Music,3002
Cage The Elephant,Spiderhead,59,0.543,0.946,2,-0.734,1,0.0454,0.00614,1.49E-05,0.106,0.547,117.962,222813,4,Rock,3003
Martika,Toy Soldiers,59,0.514,0.59,1,-6.405,0,0.0274,0.403,0,0.126,0.173,130.167,287600,4,Rock,3004
Lil Durk,Backdoor,59,0.665,0.549,4,-7.597,0,0.311,0.107,3.51E-06,0.27,0.229,82.069,200000,4,HipHop,3005
The Psychedelic Furs,Pretty in Pink,59,0.386,0.916,2,-5.955,1,0.0741,0.105,0.00991,0.325,0.775,135.642,238107,4,Alt_Music,3006
Yaw Tog,Sore,59,0.662,0.723,2,-4.683,1,0.0762,0.355,0,0.103,0.226,145.987,266501,4,Pop,3007
Yungeen Ace,Opp Boyz,59,0.762,0.592,2,-6.016,1,0.173,0.453,0,0.123,0.583,100.012,142617,4,HipHop,3008
Flight Facilities,Lights Up ,59,0.789,0.446,10,-8.264,0,0.0942,0.00454,0.0893,0.23,0.508,118.011,191537,4,Indie Alt,3009
Kings of Leon,"100,000 People",59,0.42,0.466,0,-8.67,1,0.0323,0.322,0.133,0.0839,0.107,78.015,344013,1,Rock,3010
Ashe,Me Without You,59,0.74,0.172,11,-8.669,1,0.0497,0.658,0,0.133,0.664,122.951,189500,4,Pop,3011
Sam Smith,Diamonds,59,0.489,0.284,10,-8.699,0,0.0508,0.841,0,0.137,0.335,186.337,194542,4,Pop,3012
carolesdaughter,Trailer Trash,59,0.639,0.792,10,-4.262,1,0.0348,0.012,0,0.365,0.682,97.094,152272,4,Alt_Music,3013
R.E.M.,Find The River,59,0.423,0.442,2,-9.499,1,0.0268,0.22,0,0.139,0.296,144.556,229733,4,Rock,3014
Sonic Youth,Kool Thing,59,0.262,0.82,7,-11.621,1,0.0428,0.0103,0.0914,0.101,0.254,155.197,246333,4,Rock,3015
Arcade Fire,Ready to Start,58,0.282,0.932,9,-4.701,1,0.0387,0.12,0.0335,0.0692,0.536,190.08,255893,4,Rock,3016
Morgan Evans,Love Is Real,58,0.645,0.732,3,-5.089,1,0.0453,0.00853,2.62E-05,0.198,0.708,95.02,2.716216667,4,Country,3017
Kings of Leon,Echoing,58,0.293,0.778,0,-5.581,1,0.034,0.0147,0.227,0.102,0.24,147.882,217347,4,Rock,3018
Five Finger Death Punch,Blue On Black ,58,0.45,0.872,7,-4.91,1,0.0353,0.0018,1.61E-05,0.0833,0.396,156.059,274615,4,Metal,3019
Bruce Springsteen,Ghosts,58,0.532,0.736,11,-6.901,1,0.0383,0.000146,0.000961,0.292,0.656,125.105,354813,4,Rock,3020
Paul McCartney,Seize The Day ,58,0.214,0.457,1,-10.538,0,0.0502,0.627,0.0191,0.108,0.432,178.011,209421,4,Indie Alt,3021
Parkway Drive,Carrion,58,0.228,0.969,6,-4.07,0,0.1,0.000275,0,0.0982,0.428,155.212,187960,4,Metal,3022
Citizen King,Better Days ,58,0.758,0.896,9,-3.311,1,0.0501,0.173,3.18E-05,0.136,0.797,94.911,207027,4,Rock,3023
Frances Forever,space girl ,58,0.661,0.407,9,-8.643,1,0.0295,0.566,0.000116,0.185,0.227,125.993,232600,4,Pop,3024
Johnny Cash,One Piece at a Time,58,0.721,0.539,10,-14.064,1,0.351,0.685,0,0.282,0.963,102.648,241813,4,Rock,3025
Soundgarden,The Day I Tried To Live,58,0.472,0.752,0,-6.051,1,0.0555,0.000164,0.181,0.0903,0.305,133.248,320107,4,Rock,3026
"Kina Grannis, Imaginary Future",God Only Knows,58,0.658,0.125,8,-15.901,1,0.0323,0.877,0,0.287,0.507,106.686,2.2757,4,Acoustic/Folk,3027
MOD SUN,Amnesia,58,0.457,0.804,6,-4.756,0,0.0362,0.000206,0,0.197,0.523,155.022,171033,4,Pop,3028
Jimmy Cliff,"Wonderful World, Beautiful People",58,0.767,0.568,2,-8.516,1,0.0261,0.00382,0,0.0448,0.901,105.571,194867,4,Rock,3029
Morray,Trenches,58,0.644,0.607,2,-8.066,1,0.47,0.00685,0,0.0786,0.403,161.796,193200,3,HipHop,3030
Samia,Big Wheel,58,0.553,0.512,5,-7.759,1,0.0465,0.569,3.87E-05,0.107,0.259,94.96,195773,4,Indie Alt,3031
Icewear Vezzo,Up The Sco ,58,0.828,0.663,10,-6.158,0,0.357,0.172,0,0.206,0.691,78.477,165121,4,HipHop,3032
Kings of Leon,The Bucket,58,0.494,0.637,0,-6.004,1,0.0336,0.0789,2.77E-05,0.215,0.175,140.034,175547,4,Rock,3033
The Hives,Walk Idiot Walk,58,0.623,0.947,9,-3.934,1,0.103,0.00386,0.00575,0.582,0.684,146.318,211813,4,Rock,3034
David Banner,Like A Pimp,58,0.844,0.846,7,-5.167,1,0.176,0.00487,0,0.0784,0.91,144.079,254707,4,HipHop,3035
CHUNG HA,Demente,58,0.802,0.852,7,-1.851,1,0.0604,0.0404,0.000437,0.0539,0.685,100.029,163799,4,Pop,3036
Arlo Parks,Green Eyes,58,0.618,0.75,5,-6.938,0,0.0641,0.324,0.0168,0.431,0.864,88.179,197525,4,Alt_Music,3037
Public Enemy,Fight The Power,58,0.797,0.582,2,-12.97,1,0.255,0.00484,2.04E-06,0.517,0.415,105.974,282640,4,HipHop,3038
Siouxsie and the Banshees,Spellbound,58,0.415,0.853,7,-11.098,1,0.038,0.0107,0.000499,0.536,0.302,148.494,197013,4,Indie Alt,3039
Melii,You Ain't Worth It ,58,0.542,0.561,1,-10.013,0,0.53,0.126,3.59E-05,0.0931,0.527,73.969,183078,4,HipHop,3040
St. Vincent,Los Ageless,58,0.527,0.716,5,-6.029,0,0.0616,0.0698,8.71E-05,0.0737,0.331,99.426,281347,4,Rock,3041
Raviv Kaner,◊®◊ï◊¶◊î ◊©◊ú◊ï◊ù,58,0.727,0.431,2,-10.007,0,0.0937,0.173,2.84E-05,0.0813,0.157,94.95,208681,4,Pop,3042
Zero 9:36,The End / Undead,58,0.584,0.957,1,-4.789,1,0.13,0.00356,0,0.407,0.701,108.029,186682,4,Rock,3043
WESTSIDE BOOGIE,Outside ,58,0.573,0.815,11,-7.581,0,0.582,0.109,0,0.101,0.573,91.813,188418,4,HipHop,3044
In This Moment,"As Above, So Below",58,0.497,0.99,6,-3.436,1,0.13,0.000778,0,0.129,0.101,131.99,249050,4,Metal,3045
Sundara Karma,Flame,58,0.528,0.855,7,-4.641,1,0.051,0.00113,0,0.281,0.206,100.042,227367,4,Indie Alt,3046
Winona Oak,Piano In The Sky,58,0.5,0.28,7,-10.764,0,0.0404,0.88,2.60E-06,0.102,0.0832,92.457,190253,4,Pop,3047
Queen,Heaven For Everyone,58,0.593,0.425,0,-9.775,1,0.0288,0.29,1.34E-06,0.167,0.268,110.208,336160,4,Rock,3048
M|O|O|N,Dust,58,0.418,0.66,2,-7.959,0,0.0447,0.0106,0.87,0.0727,0.245,100.007,302400,4,Indie Alt,3049
The Stone Roses,I Am the Resurrection,58,0.357,0.866,4,-6.324,1,0.0411,0.00191,0.114,0.0815,0.721,129.071,492947,4,Rock,3050
